party_short,party_long
CDU,Christlich Demokratische Union Deutschlands
SPD,Sozialdemokratische Partei Deutschlands
Linke,DIE LINKE
Gruene,BÜNDNIS 90/DIE GRÜNEN
CSU,Christlich-Soziale Union in Bayern e.V.
FDP,Freie Demokratische Partei
AfD,Alternative für Deutschland
Piraten,Piratenpartei Deutschland
NPD,Nationaldemokratische Partei Deutschlands
FW,FREIE WÄHLER
Mensch,PARTEI MENSCH UMWELT TIERSCHUTZ
ÖDP,Ökologisch-Demokratische Partei
Arbeit,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative"
Bayern,Bayernpartei
Volk,Ab jetzt...Demokratie durch Volksabstimmung
Vernunft,Partei der Vernunft
MLPD,Marxistisch-Leninistische Partei Deutschlands
Soli,Bürgerrechtsbewegung Solidarität
Sozialist,"Sozialistische Gleichheitspartei, Vierte Internationale"
Rechte,DIE RECHTE
ADD,Allianz Deutscher Demokraten
Alli,"Allianz für Menschenrechte, Tier- und Naturschutz"
berg,"bergpartei, die überpartei"
Grueink,Bündnis Grundeinkommen
Demo,DEMOKRATIE IN BEWEGUNG
DKP,Deutsche Kommunistische Partei
Mitte,Deutsche Mitte
Graue,Die Grauen – Für alle Generationen
Urbane,Die Urbane. Eine HipHop Partei
Garten,Madgeburger Gartenpartei
Welt,Menschliche Welt
Huma,Partei der Humanisten
Gesund,Partei für Gesundheitsforschung
V-Partei,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer"
Bund_C,Bündnis C - Christen für Deutschland
Einheit,DIE EINHEIT
Violetten,Die Violetten
Familien,Familien-Partei Deutschlands
Frauen,Feministische Partei DIE FRAUEN
Mieter,Mieterpartei
Neue_Lib,Neue Liberale – Die Sozialliberalen
Unabh,UNABHÄNGIGE für bürgernahe Demokratie
sonstige,Übrige
